lang,post_title,views
EN,Descaso na Arena Barueri: R$40 não compra desrespeito!,1571
PT,Narvaez Secures Second Stage Win at 2026 Giro d'Italia,1158
PT,Demi Vollering completes Grand Tour trilogy with Giro victory,427
EN,Vitor Emanuel: A Excelência sob as Traves no Dia do Goleiro,407
ES,Matías Prats desvela los dos candidatos de Riquelme para el banquillo del Madrid,356
PT,Projecting NBA's 2026 Playoff Power: Top 50 Impact Players,320
EN,A Família Schmidt: Tadeu e Oscar São Irmãos? Conheça os Laços,311
EN,Show no CT: Galo Maringá Domina o Athletico e Goleia no Paranaense Sub-20,307
PT,How Odell Beckham Jr.'s Return Reshapes the New York Giants' Offense,305
PT,2026 World Cup Power Rankings: Alexi Lalas Ranks All 48 Teams,264
EN,CBF Anuncia Revolução na Infraestrutura dos Estádios Brasileiros,264
PT,2026 NBA Playoffs: Top Prop Bet Picks for Thunder vs. Lakers Game 3,251
PT,Neymar Joins Brazil's 2026 World Cup Squad; Joao Pedro Misses Out,241
PT,World Cup 2026: England camp hit by tornado warning as Scotland celebrates historic win,238
PT,Result: Brazil 1-1 Morocco — Group Stage World Cup 2026,231
PT,WBC Champion Ryan Garcia Announces September Fight Against Conor Benn,213
PT,2026 NBA Draft: Key Decisions for College Prospects,213
EN,Qual a revolta de Lucas Besozzi? Ex-Grêmio perde a cabeça na Argentina,211
PT,Vozinha's Heroic Goalkeeping Secures Shock Draw for Cape Verde,210
PT,Fach-Donaufeld Beats Wiener SC 2-0,208
PT,Golden Glove Race Heats Up as 2026 World Cup Showcases Goalkeeping Brilliance,204
PT,2026 NBA Eastern Conference finals odds predictions: Knicks vs. Cavaliers Game 2 picks by expert on 84-51 run,203
PT,Allen & Wu Battle in Record 100-Minute Frame at World Snooker Championship,198
PT,LAFC Dethroned: How Their First 2026 Loss Shakes MLS Power Rankings,197
PT,NFL Legend Craig Morton Dies at 83 Remembered for Super Bowl Firsts,196
PT,United Rugby Championship's 2026-27 Fixtures Unveiled Early,195
PT,Can USA Really Win The 2026 World Cup? 'Yes' Zlatan Ibrahimović Says,193
PT,Five lessons Victor Wembanyama can learn from Spurs' NBA Finals failure,193
PT,Royals Announce Downtown Kansas City Stadium Plans,191
PT,Hugo Ekitike Out of World Cup After Devastating Achilles Rupture,191
PT,Unveiling the NFL Draft's Elite: Skill Superlatives for 2026 Prospects,189
EN,Resultado: Portugal 1-1 DR Congo — Grupo X Copa 2026,187
PT,WNBA regular season expands to 50 games in 2027: Everything you need to know about the new schedule,186
EN,Goleiro Vozinha ganha milhares de seguidores após empate heroico com a Espanha,186
PT,WNBA Sets Record with 216 Nationally Broadcast Games for 2026,185
ES,Escocia Vence a Haití 1-0 — Mundial 2026 Fase de Grupos,185
PT,Portugal beats Uzbekistan — 2026 World Cup Group K,184
ES,La Millonaria Recompensa de la UEFA por Alcanzar las Semifinales de la Champions,183
EN,Santos usa vitória no Brasileirão para buscar reabilitação na Sul-Americana,183
PT,2026 NFL Schedule Leaks Ahead of Official Thursday Release,182
PT,Europa League Final: Freiburg vs Aston Villa Set for May 20 Showdown,182
PT,Márquez Suffers Foot Fracture in MotoGP France Sprint Crash,182
EN,Penta Mantido: Brasil Segue Único Quíntuplo Campeão Mundial Após Queda Alemã em 2026,182
EN,Resultado: Áustria 3 x 1 Jordânia — Grupo J Copa 2026,182
PT,Premier League NFL-Style Draft: Imagining a New Recruitment System,181
PT,Kentucky Derby 2026: Expert Gene Menez Reveals Top Picks,180
PT,Chris Billam-Smith Joins Zuffa Boxing: Sky Sports Set for Big Fights,180
EN,França vence Senegal — Copa 2026 Fase de Grupos,180
PT,MLB 2026 Playoff Race: Contenders Emerge at Quarter-Mark,179
PT,Result: Netherlands 5-1 Sweden — World Cup 2026 Group F,178
